Depth,Calcite,Dolomite,Pyrite,Porosity,Bulk_Porosity,Volume_Closure,RMSE
3322.1,0.5837,0.0,0.1828,0.2335,0.2168,1.0,0.2448
3322.2,0.6041,0.0,0.1684,0.2275,0.2118,1.0,0.2279
3322.3,0.6203,0.0,0.1584,0.2213,0.2054,1.0,0.2229
3322.4,0.6169,0.0,0.1599,0.2233,0.2062,1.0,0.2286
3322.5,0.607,0.0,0.1673,0.2257,0.2079,1.0,0.2408
3322.6,0.5949,0.0,0.1766,0.2284,0.2114,1.0,0.2494
3322.7,0.5849,0.0,0.1844,0.2307,0.2157,1.0,0.253
3322.8,0.5849,0.0,0.1872,0.228,0.2143,1.0,0.2562
3322.9,0.588,0.0,0.1884,0.2236,0.2093,1.0,0.2621
3323.0,0.5907,0.0,0.1906,0.2187,0.2028,1.0,0.272
3323.1,0.5971,0.0,0.192,0.2109,0.1937,1.0,0.2756
3323.2,0.613,0.0,0.1881,0.1989,0.1814,1.0,0.2645
3323.3,0.6365,0.0,0.1772,0.1863,0.169,1.0,0.2433
3323.4,0.6541,0.0,0.1661,0.1798,0.1627,1.0,0.2232
3323.5,0.6714,0.0,0.1546,0.1739,0.1561,1.0,0.2075
3323.6,0.6737,0.0,0.1504,0.1759,0.1577,1.0,0.2029
3323.7,0.6683,0.0,0.1529,0.1788,0.1595,1.0,0.2108
3323.8,0.6471,0.0,0.165,0.1879,0.1679,1.0,0.2294
3323.9,0.6241,0.0,0.1795,0.1964,0.1763,1.0,0.2483
3324.0,0.6105,0.0,0.1903,0.1993,0.1791,1.0,0.2595
3324.1,0.6075,0.0,0.1949,0.1976,0.1779,1.0,0.2601
3324.2,0.6124,0.0,0.1932,0.1944,0.176,1.0,0.2491
3324.3,0.624,0.0,0.1861,0.1899,0.173,1.0,0.2292
3324.4,0.6355,0.0,0.1777,0.1868,0.1708,1.0,0.2094
3324.5,0.64,0.0,0.1722,0.1877,0.1715,1.0,0.1976
3324.6,0.638,0.0,0.1709,0.1911,0.1749,1.0,0.2024
3324.7,0.6291,0.0,0.1732,0.1977,0.1816,1.0,0.2144
3324.8,0.6189,0.0,0.1767,0.2044,0.1895,1.0,0.2263
3324.9,0.6174,0.0,0.1774,0.2052,0.1906,1.0,0.2326
3325.0,0.6198,0.0,0.1767,0.2035,0.1881,1.0,0.235
3325.1,0.6212,0.0,0.1763,0.2025,0.1862,1.0,0.2367
3325.2,0.6333,0.0,0.1713,0.1955,0.177,1.0,0.2337
3325.3,0.662,0.0,0.1589,0.1791,0.1577,1.0,0.2196
3325.4,0.683,0.0,0.1488,0.1681,0.145,1.0,0.1998
3325.5,0.6839,0.0,0.1475,0.1686,0.1436,1.0,0.1828
3325.6,0.6552,0.0,0.1599,0.1849,0.1579,1.0,0.1789
3325.7,0.5984,0.0,0.1853,0.2163,0.1898,1.0,0.1935
3325.8,0.5462,0.0,0.2097,0.244,0.2214,1.0,0.2163
3325.9,0.5238,0.0,0.2215,0.2547,0.2362,1.0,0.2363
3326.0,0.5306,0.0,0.2197,0.2497,0.2344,1.0,0.2501
3326.1,0.5654,0.0,0.2054,0.2292,0.2145,1.0,0.2547
3326.2,0.6144,0.0,0.1857,0.2,0.1858,1.0,0.254
3326.3,0.653,0.0,0.171,0.1761,0.1616,1.0,0.2439
3326.4,0.6692,0.0,0.1663,0.1646,0.1494,1.0,0.2279
3326.5,0.6562,0.0,0.1714,0.1724,0.1575,1.0,0.2076
3326.6,0.6439,0.0,0.172,0.1842,0.1691,1.0,0.1774
3326.7,0.6375,0.0,0.1642,0.1983,0.1828,1.0,0.146
3326.8,0.6278,0.0,0.1533,0.2189,0.2019,1.0,0.1257
3326.9,0.6013,0.0,0.1488,0.2499,0.2312,1.0,0.1406
3327.0,0.5613,0.0,0.154,0.2847,0.2649,1.0,0.1852
3327.1,0.5272,0.0,0.1619,0.311,0.2901,1.0,0.2282
3327.2,0.5137,0.0,0.165,0.3213,0.3004,1.0,0.2514
3327.3,0.512,0.0,0.165,0.323,0.3046,1.0,0.2581
3327.4,0.5121,0.0,0.1658,0.3222,0.3055,1.0,0.2616
3327.5,0.5043,0.0,0.1727,0.323,0.306,1.0,0.2733
3327.6,0.484,0.0,0.1873,0.3287,0.3104,1.0,0.2877
3327.7,0.4736,0.0,0.1976,0.3288,0.3086,1.0,0.2922
3327.8,0.4724,0.0,0.1998,0.3278,0.3079,1.0,0.2784
3327.9,0.4815,0.0,0.1929,0.3256,0.3065,1.0,0.2583
3328.0,0.477,0.0,0.1886,0.3344,0.3164,1.0,0.2478
3328.1,0.4618,0.0,0.1893,0.3489,0.329,1.0,0.2554
3328.2,0.4466,0.0,0.193,0.3605,0.3384,1.0,0.2776
3328.3,0.4381,0.0,0.1964,0.3654,0.3427,1.0,0.299
3328.4,0.4489,0.0,0.1934,0.3576,0.3341,1.0,0.3083
3328.5,0.4734,0.0,0.1852,0.3414,0.3166,1.0,0.3058
3328.6,0.5045,0.0,0.1746,0.3209,0.2961,1.0,0.2956
3328.7,0.5276,0.0,0.1661,0.3063,0.2818,1.0,0.2741
3328.8,0.5465,0.0,0.1594,0.2941,0.2729,1.0,0.2528
3328.9,0.5541,0.0,0.1561,0.2898,0.2713,1.0,0.231
3329.0,0.5543,0.0,0.1547,0.291,0.2727,1.0,0.2173
3329.1,0.5385,0.0,0.1593,0.3022,0.2845,1.0,0.2159
3329.2,0.5207,0.0,0.1645,0.3148,0.2965,1.0,0.2219
3329.3,0.5029,0.0,0.17,0.3271,0.3075,1.0,0.234
3329.4,0.4899,0.0,0.174,0.3361,0.3161,1.0,0.2475
3329.5,0.4868,0.0,0.1737,0.3394,0.3194,1.0,0.2563
3329.6,0.4911,0.0,0.1705,0.3384,0.3187,1.0,0.258
3329.7,0.4956,0.0,0.1681,0.3364,0.3183,1.0,0.2549
3329.8,0.5003,0.0,0.1672,0.3325,0.3149,1.0,0.2502
3329.9,0.502,0.0,0.169,0.329,0.3114,1.0,0.2485
3330.0,0.4969,0.0,0.1744,0.3287,0.3121,1.0,0.2549
3330.1,0.4865,0.0,0.1817,0.3318,0.3157,1.0,0.2678
3330.2,0.487,0.0,0.1853,0.3277,0.31,1.0,0.286
3330.3,0.4899,0.0,0.1883,0.3217,0.3024,1.0,0.2935
3330.4,0.4979,0.0,0.1895,0.3126,0.2936,1.0,0.2871
3330.5,0.511,0.0,0.1864,0.3026,0.2854,1.0,0.2678
3330.6,0.5316,0.0,0.1757,0.2927,0.276,1.0,0.2382
3330.7,0.5556,0.0,0.1593,0.285,0.2689,1.0,0.2131
3330.8,0.574,0.0,0.1432,0.2827,0.2663,1.0,0.1991
3330.9,0.58,0.0,0.1343,0.2857,0.2683,1.0,0.2027
